City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Nhulunbuy,AU,78.8,overcast clouds,-12.23,136.77,East Arnhem Real Estate
362,Mwense,ZM,72.86,broken clouds,-10.38,28.7,
365,Saint-Pierre,RE,75.2,overcast clouds,-21.34,55.48,Lindsey Hôtel
369,Inhambane,MZ,73.4,clear sky,-23.86,35.38,MHL Turismo SA
370,Colina,BR,77.13,broken clouds,-20.71,-48.54,Hotel e Pousada Dona Lidia
371,Mujiayingzi,CN,66.81,overcast clouds,42.12,118.78,Jinjiang Hotel
379,Ponta Do Sol,PT,64.99,few clouds,32.67,-17.1,Hotel do Campo
381,Karratha,AU,70.57,clear sky,-20.74,116.85,ibis Styles Karratha
385,Beitbridge,ZW,73.17,few clouds,-22.22,30.0,PETERS MOTEL & CONFERENCE CENTRE
396,Guadix,ES,68.0,scattered clouds,37.3,-3.14,Hotel YIT Abentofail
398,Utete,TZ,74.35,broken clouds,-7.99,38.76,River View Lodge
402,Villarrica,PY,70.23,broken clouds,-25.75,-56.43,Mansión Reljuv Tours SA
403,Meadow Lake,US,68.0,few clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
404,Lisakovsk,KZ,64.56,overcast clouds,52.54,62.49,"Gostinitsa ""Kontinent"""
407,Itoman,JP,71.6,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
411,Pimampiro,EC,60.8,overcast clouds,0.4,-77.97,Jireh Casa Hostal
412,Kindu,CD,73.69,overcast clouds,-2.95,25.95,Hotel Karibu
415,Quatre Cocos,MU,72.0,broken clouds,-20.21,57.76,Veranda Palmar Beach Hotel
417,Los Llanos De Aridane,ES,71.6,few clouds,28.66,-17.92,Valle Aridane
419,Kochubey,RU,69.21,scattered clouds,44.39,46.58,Gostinitsa Karavan
421,Nouadhibou,MR,75.2,clear sky,20.93,-17.03,El Medina
426,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
428,Taltal,CL,66.97,clear sky,-25.4,-70.48,Residencial Karime
433,Makakilo City,US,73.0,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
437,Tura,IN,76.17,scattered clouds,25.52,90.22,Hotel RIKMAN Continental
438,Ken Caryl,US,71.01,overcast clouds,39.58,-105.12,Hampton Inn & Suites Denver Littleton
444,Haimen,CN,77.0,broken clouds,23.19,116.61,Jinghao Business Hotel
451,Cabra,ES,71.01,scattered clouds,37.47,-4.44,MS Fuente Las Piedras
455,Niksic,ME,78.8,broken clouds,42.77,18.94,Hotel Trebjesa
457,Cairns,AU,71.6,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
461,Bastia,FR,71.01,broken clouds,42.67,9.33,Hotel Santa Maria
468,Sovetskiy,RU,61.05,scattered clouds,61.36,63.58,Apartment on Kievskaya 29
474,Dumas,US,78.01,clear sky,35.87,-101.97,Holiday Inn Express & Suites Dumas
479,Biscarrosse,FR,62.6,broken clouds,44.39,-1.17,Saint Hubert
482,Soe,ID,64.78,scattered clouds,-9.86,124.28,Dena Hotel
483,Meulaboh,ID,78.6,overcast clouds,4.14,96.13,Kost Pria
484,Kuminskiy,RU,62.29,broken clouds,58.67,66.57,
485,Sayyan,YE,69.8,clear sky,15.17,44.32,الاستاذة مروى اليوسفي
486,Hasaki,JP,60.8,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
488,Cangzhou,CN,72.46,overcast clouds,38.32,116.87,Jinji Express Hotel
494,Camana,PE,68.61,scattered clouds,-16.62,-72.71,Hostal Morales
497,Lamar,US,73.4,overcast clouds,33.67,-95.58,Kings Inn Paris TX
499,Gracac,HR,75.2,scattered clouds,44.3,15.85,"Apartment ""ANA"""
506,Tautira,PF,77.0,few clouds,-17.73,-149.15,Pension Oaoa
508,Kanye,BW,61.72,clear sky,-24.97,25.33,The Savanna Lodge
509,Antofagasta,CL,62.6,few clouds,-23.65,-70.4,Hotel Terrado Suites Antofagasta
512,Kang,BW,66.22,clear sky,-23.68,22.79,Kang Ultra Stop
514,Vanderhoof,CA,60.17,scattered clouds,54.02,-124.02,Vanderhoof Inn
521,Santa Rosalia,MX,79.84,clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
523,Mount Pleasant,US,73.99,clear sky,32.79,-79.86,Best Western Patriots Point
526,West Lafayette,US,66.2,overcast clouds,40.43,-86.91,Hilton Garden Inn West Lafayette Wabash Landing
528,Mosquera,CO,64.4,broken clouds,4.71,-74.23,Hotel SJ
531,Chiredzi,ZW,68.16,scattered clouds,-21.05,31.67,The Nesbitt Arms
536,Poya,NC,65.16,scattered clouds,-21.35,165.15,
541,Pacasmayo,PE,74.46,few clouds,-7.4,-79.57,Hotel Libertad
542,Saint-Joseph,RE,75.2,overcast clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
547,Minas Novas,BR,77.18,broken clouds,-17.22,-42.59,J K Palace Hotel
550,Lucapa,AO,75.06,scattered clouds,-8.42,20.74,Residência Ulisses Dos Santos
552,Likasi,CD,65.66,broken clouds,-10.98,26.73,TABERNACLE DE LIKASI
554,Kabinda,CD,72.75,broken clouds,-6.13,24.48,Village Mianda Mutole
555,Rio Grande,BR,66.2,broken clouds,-32.03,-52.1,Swan Express Rio Grande
558,Guerrero Negro,MX,67.89,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
560,Roebourne,AU,71.4,clear sky,-20.78,117.13,Harding River Caravan Park
565,Kongolo,CD,74.64,overcast clouds,-5.38,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
568,Moron,AR,68.0,clear sky,-34.65,-58.62,Hotel Morón
569,Port Hedland,AU,69.8,clear sky,-20.32,118.57,The Esplanade Hotel
