City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
121,Punta Arenas,CL,-53.15,-70.92,44.6,70,75,9.17,broken clouds,0.0,0.0
122,Faanui,PF,-16.48,-151.75,80.76,78,13,16.93,few clouds,0.0,0.0
123,Dudinka,RU,69.41,86.18,28.4,86,51,26.84,broken clouds,0.0,0.0
124,Bahawalpur,PK,29.4,71.68,95.65,30,14,6.64,light rain,0.11,0.0
125,Vila Franca Do Campo,PT,37.72,-25.43,60.8,55,40,17.22,scattered clouds,0.0,0.0
126,Okhotsk,RU,59.38,143.3,33.3,93,100,15.05,overcast clouds,0.0,0.0
127,Leshukonskoye,RU,64.9,45.76,56.08,81,69,3.13,broken clouds,0.0,0.0
128,Andenes,NO,69.31,16.12,35.6,64,40,12.75,scattered clouds,0.0,0.0
129,Kodiak,US,57.79,-152.41,48.2,61,1,8.05,clear sky,0.0,0.0
130,Wichita Falls,US,33.91,-98.49,72.0,78,75,16.11,broken clouds,0.0,0.0
131,Quelimane,MZ,-17.88,36.89,77.0,65,20,3.36,few clouds,0.0,0.0
132,Norman Wells,CA,65.28,-126.83,28.4,50,75,11.41,broken clouds,0.0,0.0
133,San Policarpo,PH,12.18,125.51,81.7,83,100,11.16,light rain,0.2,0.0
134,Longyearbyen,SJ,78.22,15.64,33.8,64,75,25.28,broken clouds,0.0,0.0
135,Nelson Bay,AU,-32.72,152.15,48.0,87,43,8.05,scattered clouds,0.0,0.0
136,Lorengau,PG,-2.02,147.27,82.27,79,100,6.22,overcast clouds,0.0,0.0
137,Provideniya,RU,64.38,-173.3,32.86,95,100,14.45,light snow,0.0,0.15
138,Lata,PT,40.16,-8.33,60.01,90,100,3.0,moderate rain,1.97,0.0
139,Qaanaaq,GL,77.48,-69.36,37.65,75,0,4.99,clear sky,0.0,0.0
140,Beringovskiy,RU,63.05,179.32,31.66,98,100,16.28,light snow,0.0,0.13
141,Hammerfest,NO,70.66,23.68,39.2,44,0,8.05,clear sky,0.0,0.0
142,Kapaa,US,22.08,-159.32,71.6,94,90,4.7,moderate rain,3.3,0.0
143,General Pico,AR,-35.66,-63.76,60.66,44,0,12.68,clear sky,0.0,0.0
144,Rawah,IQ,34.48,41.91,88.29,18,0,6.2,clear sky,0.0,0.0
145,Ust-Uda,RU,54.17,103.03,42.58,60,100,1.9,overcast clouds,0.0,0.0
146,Bandarbeyla,SO,9.49,50.81,83.97,79,90,14.12,overcast clouds,0.0,0.0
147,Constitucion,CL,-35.33,-72.42,61.86,48,35,9.42,scattered clouds,0.0,0.0
148,Sinazongwe,ZM,-17.26,27.46,73.08,35,0,4.72,clear sky,0.0,0.0
149,Barra Do Garcas,BR,-15.89,-52.26,89.6,43,20,3.36,few clouds,0.0,0.0
150,Gull Lake,CA,50.1,-108.48,39.2,86,90,4.7,overcast clouds,0.0,0.0
151,Ust-Nera,RU,64.57,143.2,32.34,92,93,3.78,overcast clouds,0.0,0.0
152,Stromness,GB,58.97,-3.3,45.0,56,40,16.11,scattered clouds,0.0,0.0
153,Saint-Philippe,RE,-21.36,55.77,75.2,64,90,5.82,overcast clouds,0.0,0.0
154,Nishihara,JP,26.18,127.76,71.6,83,5,4.7,clear sky,0.0,0.0
155,Rock Springs,US,41.59,-109.2,46.4,51,75,10.29,broken clouds,0.0,0.0
156,Chicama,PE,-7.84,-79.15,78.4,57,35,10.67,scattered clouds,0.0,0.0
157,Saiha,IN,22.48,92.97,70.68,74,7,2.51,clear sky,0.0,0.0
158,Airai,TL,-8.93,125.41,59.22,100,60,3.78,broken clouds,0.0,0.0
159,Ixtapa,MX,20.7,-105.2,78.8,69,5,3.36,clear sky,0.0,0.0
160,Storforshei,NO,66.4,14.52,30.99,79,100,4.56,light snow,0.0,0.12
161,Oksfjord,NO,70.24,22.35,41.0,38,61,11.41,broken clouds,0.0,0.0
162,Zemio,CF,5.03,25.14,83.75,66,12,2.17,few clouds,0.0,0.0
163,Noumea,NC,-22.28,166.46,70.0,82,20,3.36,few clouds,0.0,0.0
164,Bonthe,SL,7.53,-12.51,85.42,70,99,10.83,overcast clouds,0.0,0.0
165,Maniitsoq,GL,65.42,-52.9,40.82,84,72,2.37,broken clouds,0.0,0.0
166,Oum Hadjer,TD,13.3,19.7,105.69,9,29,0.34,scattered clouds,0.0,0.0
167,Havre-Saint-Pierre,CA,50.23,-63.6,44.6,39,20,21.92,few clouds,0.0,0.0
168,Peniche,PT,39.36,-9.38,57.99,85,100,8.01,light rain,0.26,0.0
169,Nome,US,64.5,-165.41,39.0,79,40,9.17,scattered clouds,0.0,0.0
170,Barrow,US,71.29,-156.79,17.6,78,1,14.99,clear sky,0.0,0.0
171,Umm Kaddadah,SD,13.6,26.69,94.53,10,0,12.19,clear sky,0.0,0.0
172,Kahului,US,20.89,-156.47,71.01,88,20,9.17,few clouds,0.0,0.0
